sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor
190616360811.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360812.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360813.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360814.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360815.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360816.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360817.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360818.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360819.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360820.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360821.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360822.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360823.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360824.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360825.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360826.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360827.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360828.1.1.2	T0	200000	200000	20000	200000	20000	200000	840000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360829.1.1.2	T0	200000	200000	20000	200000	20000	200000	840000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
